stock_name,stock_code,trade_date,open,close,high,low,volume
中国石化,600028.SH,2025-10-09 10:30,5.29,5.31,5.32,5.27,438429
中国石化,600028.SH,2025-10-09 11:30,5.31,5.33,5.34,5.3,270521
中国石化,600028.SH,2025-10-09 14:00,5.34,5.34,5.35,5.33,325414
中国石化,600028.SH,2025-10-09 15:00,5.34,5.36,5.37,5.34,429497
中国石化,600028.SH,2025-10-10 10:30,5.34,5.37,5.4,5.33,559332
中国石化,600028.SH,2025-10-10 11:30,5.36,5.37,5.38,5.35,242454
中国石化,600028.SH,2025-10-10 14:00,5.37,5.37,5.38,5.36,225697
中国石化,600028.SH,2025-10-10 15:00,5.37,5.37,5.38,5.36,254952
中国石化,600028.SH,2025-10-13 10:30,5.3,5.33,5.34,5.27,967744
中国石化,600028.SH,2025-10-13 11:30,5.32,5.33,5.36,5.32,284594
中国石化,600028.SH,2025-10-13 14:00,5.33,5.39,5.4,5.32,462633
中国石化,600028.SH,2025-10-13 15:00,5.4,5.36,5.4,5.36,288399
中国石化,600028.SH,2025-10-14 10:30,5.36,5.4,5.4,5.33,633898
中国石化,600028.SH,2025-10-14 11:30,5.4,5.41,5.42,5.38,502247
中国石化,600028.SH,2025-10-14 14:00,5.41,5.4,5.42,5.39,255411
中国石化,600028.SH,2025-10-14 15:00,5.41,5.42,5.42,5.39,377700
中国石化,600028.SH,2025-10-15 10:30,5.41,5.38,5.44,5.38,650093
中国石化,600028.SH,2025-10-15 11:30,5.38,5.39,5.4,5.38,163005
中国石化,600028.SH,2025-10-15 14:00,5.39,5.39,5.39,5.37,233604
中国石化,600028.SH,2025-10-15 15:00,5.39,5.39,5.4,5.37,259122
中国石化,600028.SH,2025-10-16 10:30,5.39,5.42,5.42,5.38,421540
中国石化,600028.SH,2025-10-16 11:30,5.41,5.42,5.43,5.4,240776
中国石化,600028.SH,2025-10-16 14:00,5.41,5.43,5.44,5.41,276077
中国石化,600028.SH,2025-10-16 15:00,5.44,5.45,5.46,5.43,587567
中国石化,600028.SH,2025-10-17 10:30,5.44,5.44,5.47,5.42,430807
